Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,31.950001,34.099998,31.780001,32.889999,30.509092,56395000
2020-04-21,31.940001,32.900002,31.389999,32.310001,29.971083,60430800
2020-04-22,33.770000,33.990002,33.009998,33.459999,31.037830,36876600
2020-04-23,34.480000,35.349998,34.139999,34.540001,32.039646,41603600
2020-04-24,35.230000,35.540001,34.070000,34.619999,32.113857,32429600
2020-04-27,34.360001,35.619999,33.580002,35.369999,32.809566,23288000
2020-04-28,35.900002,36.400002,35.320000,36.180000,33.560925,29569000
2020-04-29,37.369999,38.990002,37.340000,38.860001,36.046928,35537500
2020-04-30,39.080002,39.080002,37.439999,38.000000,35.249176,42020100
2020-05-01,37.220001,37.500000,35.410000,35.849998,33.254818,29265900
2020-05-04,35.189999,37.119999,35.020000,37.090000,34.405060,26390200
2020-05-05,38.610001,38.919998,36.990002,37.119999,34.432884,34366700
2020-05-06,37.299999,37.619999,36.119999,36.150002,33.533104,23675100
2020-05-07,37.169998,37.790001,36.830002,37.090000,34.405060,24234700
2020-05-08,37.959999,38.799999,37.740002,38.779999,35.972717,24823100
2020-05-11,38.520000,38.630001,37.919998,38.099998,35.341938,23265700
2020-05-12,38.480000,38.529999,37.380001,37.430000,34.720444,28064500
2020-05-13,37.180000,37.230000,35.470001,35.730000,33.143509,34497400
2020-05-14,35.099998,36.470001,34.299999,36.130001,33.514549,30984200
2020-05-15,36.139999,36.889999,35.669998,35.990002,33.384682,27213900
2020-05-18,38.049999,39.180000,37.950001,38.930000,36.111862,36569800
2020-05-19,38.980000,39.099998,37.810001,37.840000,35.100761,26970300
2020-05-20,38.619999,39.419998,38.419998,39.349998,36.501450,27260600
2020-05-21,39.470001,39.630001,38.410000,38.720001,35.917061,28120900
2020-05-22,38.410000,38.520000,37.689999,38.480000,35.694435,19247500
2020-05-26,39.709999,39.959999,39.450001,39.549999,36.686974,37444300
2020-05-27,40.130001,40.360001,38.939999,40.060001,37.160057,35612800
2020-05-28,40.160000,40.160000,38.750000,38.939999,36.121136,27178400
2020-05-29,38.599998,39.049999,37.950001,38.759998,35.954163,35750200
2020-06-01,38.700001,39.660000,38.180000,39.439999,36.584934,23840000
2020-06-02,39.869999,40.580002,39.820000,40.540001,37.605312,25159200
2020-06-03,41.180000,41.919998,41.099998,41.730000,38.709171,27300900
2020-06-04,41.500000,41.900002,40.900002,41.740002,38.718445,27424700
2020-06-05,43.830002,45.250000,43.790001,44.840000,41.594032,50196700
2020-06-08,46.470001,46.880001,45.430000,46.860001,43.467808,47534700
2020-06-09,45.360001,45.490002,44.480000,45.099998,41.835209,43699500
2020-06-10,44.680000,44.720001,42.860001,42.880001,39.775913,40488500
2020-06-11,39.889999,41.040001,38.709999,38.840000,36.028374,48152200
2020-06-12,40.549999,40.840000,38.740002,39.820000,36.937431,42817500
2020-06-15,38.119999,40.349998,37.700001,39.939999,37.048744,32847400
2020-06-16,41.840000,41.900002,39.919998,41.090000,38.115494,32041900
2020-06-17,40.930000,40.939999,39.680000,39.689999,36.816837,23368000
2020-06-18,39.290001,40.619999,39.049999,40.180000,37.271370,18468900
2020-06-19,41.430000,41.439999,39.529999,39.570000,36.705532,26967100
2020-06-22,38.880001,39.380001,38.419998,39.250000,36.875576,19448200
2020-06-23,39.840000,39.939999,39.169998,39.290001,36.913162,14805800
2020-06-24,38.680000,38.689999,36.860001,37.110001,34.865040,32363000
2020-06-25,36.759998,37.959999,36.570000,37.820000,35.532082,24017200
2020-06-26,37.549999,37.549999,36.340000,36.509998,34.301334,33861100
2020-06-29,36.599998,37.320000,36.439999,37.000000,34.761696,19452800
2020-06-30,36.700001,38.070000,36.320000,37.849998,35.560272,20943400
2020-07-01,38.000000,38.509998,36.880001,36.930000,34.695923,24573400
2020-07-02,37.689999,38.209999,37.259998,37.340000,35.081123,20779200
2020-07-06,38.000000,38.270000,36.980000,37.450001,35.184467,22542200
2020-07-07,36.980000,37.029999,36.200001,36.259998,34.066456,20910900
2020-07-08,36.259998,36.820000,35.930000,36.230000,34.038277,20650900
2020-07-09,36.070000,36.169998,34.400002,34.439999,32.356556,30543600
2020-07-10,34.240002,35.580002,34.240002,35.540001,33.390015,25228000
2020-07-13,35.869999,36.009998,35.080002,35.349998,33.211506,37223800
2020-07-14,35.110001,36.660000,35.009998,36.590000,34.376492,34221100
2020-07-15,37.520000,37.619999,36.830002,37.380001,35.118710,25902500
2020-07-16,37.130001,37.689999,36.660000,37.209999,34.958992,18822800
2020-07-17,37.330002,37.740002,36.529999,36.689999,34.470444,17716900
2020-07-20,36.560001,36.980000,36.049999,36.080002,33.897346,20076500
2020-07-21,36.700001,38.549999,36.650002,38.259998,35.945465,36170200
2020-07-22,37.849998,37.849998,37.240002,37.790001,35.503902,19621700
2020-07-23,37.660000,37.910000,37.240002,37.720001,35.438137,21043900
2020-07-24,37.720001,38.279999,37.369999,37.509998,35.240837,19950600
2020-07-27,37.459999,37.720001,36.990002,37.549999,35.278423,18231000
2020-07-28,37.330002,37.689999,36.810001,36.910000,34.677135,17776900
2020-07-29,37.009998,37.709999,36.759998,37.680000,35.400555,17215000
2020-07-30,36.889999,36.910000,35.880001,36.200001,34.010082,32833700
2020-07-31,35.650002,36.070000,35.299999,36.029999,33.850372,24774100
2020-08-03,36.020000,36.360001,35.720001,36.160000,33.972504,21103400
2020-08-04,36.040001,37.119999,36.009998,37.040001,34.799278,22572100
2020-08-05,37.770000,37.900002,37.090000,37.430000,35.165680,30758700
2020-08-06,37.220001,37.560001,36.990002,37.130001,34.883831,19190700
2020-08-07,36.799999,37.270000,36.369999,37.180000,34.930801,18376600
2020-08-10,37.459999,38.349998,37.369999,38.330002,36.011234,26308100
2020-08-11,39.080002,39.529999,38.020000,38.200001,35.889095,26513100
2020-08-12,38.779999,39.029999,38.169998,38.580002,36.246113,25532700
2020-08-13,38.270000,38.590000,37.740002,37.830002,35.541481,15761000
2020-08-14,37.529999,38.250000,37.389999,38.189999,35.879704,13279700
2020-08-17,38.200001,38.220001,37.759998,37.970001,35.673012,14255800
2020-08-18,37.830002,38.200001,37.380001,37.490002,35.222050,14348800
2020-08-19,37.459999,37.630001,36.939999,37.060001,34.818066,14793900
2020-08-20,36.509998,36.750000,36.250000,36.259998,34.066456,19107700
2020-08-21,36.119999,36.189999,35.689999,36.029999,33.850372,17347800
2020-08-24,36.250000,37.279999,36.029999,37.020000,34.780487,24827000
2020-08-25,37.220001,37.270000,36.320000,36.500000,34.291939,20118500
2020-08-26,36.450001,36.450001,35.680000,35.730000,33.568520,18001200
2020-08-27,35.740002,36.040001,35.360001,35.799999,33.634285,22259700
2020-08-28,35.939999,36.549999,35.759998,36.439999,34.235573,14575100
2020-08-31,36.490002,36.540001,35.650002,35.650002,33.493362,18791500
2020-09-01,35.490002,35.570000,34.970001,35.410000,33.267879,18260500
2020-09-02,35.400002,35.610001,35.020000,35.240002,33.108162,23850200
2020-09-03,35.169998,35.900002,34.770000,34.980000,32.863892,39442300
2020-09-04,35.340000,35.580002,34.439999,34.869999,32.760544,34341000
2020-09-08,34.209999,34.369999,33.220001,33.599998,31.567371,49218800
2020-09-09,33.980000,34.169998,33.709999,33.830002,31.783463,24977600
2020-09-10,33.930000,33.970001,32.529999,32.590000,30.618477,37003300
2020-09-11,32.660000,32.830002,32.349998,32.619999,30.646658,25397300
2020-09-14,32.709999,33.169998,32.480000,32.869999,30.881533,19444200
2020-09-15,33.090000,33.389999,32.529999,32.630001,30.656057,25610400
2020-09-16,32.919998,34.380001,32.639999,33.939999,31.886805,35886100
2020-09-17,33.400002,34.020000,33.070000,33.990002,31.933784,22356700
2020-09-18,33.970001,33.990002,33.270000,33.610001,31.576773,26406400
2020-09-21,32.259998,32.340000,31.430000,31.969999,30.530130,30719600
2020-09-22,31.990000,32.500000,31.580000,31.639999,30.214994,22348700
2020-09-23,31.760000,31.879999,30.170000,30.209999,28.849400,26484600
2020-09-24,30.100000,30.750000,29.540001,30.200001,28.839849,35243800
2020-09-25,29.889999,30.410000,29.700001,30.180000,28.820749,27558400
2020-09-28,30.730000,31.230000,30.690001,30.889999,29.498772,26376000
2020-09-29,30.799999,30.870001,29.740000,30.040001,28.687057,23800900
2020-09-30,30.230000,30.580000,29.809999,29.950001,28.601109,24574500
2020-10-01,29.620001,29.750000,28.850000,29.030001,27.722544,28365200
2020-10-02,28.250000,29.559999,28.200001,29.309999,27.989933,28705200
2020-10-05,29.570000,30.209999,29.500000,30.190001,28.830299,31572200
2020-10-06,30.629999,30.799999,29.660000,29.740000,28.400566,31111600
2020-10-07,29.910000,30.240000,29.570000,30.160000,28.801651,21043000
2020-10-08,30.410000,31.309999,30.270000,31.290001,29.880756,30563100
2020-10-09,31.570000,31.650000,30.740000,30.790001,29.403276,25517900
2020-10-12,30.690001,30.980000,30.370001,30.870001,29.479675,16684600
2020-10-13,30.870001,31.049999,30.299999,30.389999,29.021292,25383800
2020-10-14,30.459999,31.230000,30.400000,30.520000,29.145435,27244000
2020-10-15,30.000000,30.900000,29.730000,30.889999,29.498772,20353900
2020-10-16,30.830000,30.870001,30.139999,30.190001,28.830299,18711500
2020-10-19,30.299999,30.450001,29.520000,29.549999,28.219124,25186000
2020-10-20,29.719999,30.160000,29.520000,29.900000,28.553358,22990300
2020-10-21,29.730000,29.900000,29.320000,29.330000,28.009031,24657600
2020-10-22,29.379999,30.580000,29.190001,30.540001,29.164536,32824200
2020-10-23,30.700001,30.879999,30.010000,30.389999,29.021292,24987700
2020-10-26,29.870001,29.910000,29.010000,29.299999,27.980383,30401000
2020-10-27,29.270000,29.280001,28.850000,28.920000,27.617496,21596800
2020-10-28,28.209999,28.389999,27.549999,27.709999,26.461992,40549100
2020-10-29,27.350000,28.650000,26.980000,28.559999,27.273710,37252100
2020-10-30,28.360001,28.740000,28.030001,28.719999,27.426504,37899700
2020-11-02,29.110001,30.090000,28.570000,29.700001,28.362370,41893100
2020-11-03,30.200001,30.219999,29.260000,29.530001,28.200026,34877500
2020-11-04,29.570000,30.280001,28.770000,29.570000,28.238222,43613700
2020-11-05,29.610001,30.160000,29.510000,29.570000,28.238222,31795800
2020-11-06,29.570000,30.010000,28.809999,28.930000,27.627047,33223200
2020-11-09,32.400002,33.790001,32.299999,33.060001,31.571041,99356700
2020-11-10,33.680000,34.130001,32.980000,34.130001,32.592850,73338100
2020-11-11,34.500000,34.570000,33.459999,33.779999,32.258614,46542500
2020-11-12,33.189999,33.660000,32.340000,32.689999,31.217703,38584800
2020-11-13,32.939999,34.049999,32.900002,33.880001,32.354107,39432700
2020-11-16,35.320000,36.189999,34.889999,36.110001,34.483669,47932700
