"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 20, 2020","93.051","93.415","93.505","92.975","22.35K","-0.40%"
"Oct 19, 2020","93.429","93.720","93.775","93.195","21.62K","-0.27%"
"Oct 16, 2020","93.679","93.815","93.885","93.520","19.36K","-0.20%"
"Oct 15, 2020","93.864","93.435","93.925","93.365","17.90K","0.53%"
"Oct 14, 2020","93.366","93.540","93.680","93.240","24.15K","-0.18%"
"Oct 13, 2020","93.536","93.075","93.605","93.045","28.34K","0.46%"
"Oct 12, 2020","93.104","93.110","93.270","93.025","17.46K","0.04%"
"Oct 09, 2020","93.065","93.575","93.620","93.000","19.92K","-0.62%"
"Oct 08, 2020","93.648","93.670","93.820","93.525","14.79K","-0.03%"
"Oct 07, 2020","93.678","93.890","93.975","93.605","20.28K","-0.07%"
"Oct 06, 2020","93.744","93.455","93.915","93.375","26.66K","0.21%"
"Oct 05, 2020","93.545","93.915","93.955","93.415","17.46K","-0.39%"
"Oct 02, 2020","93.909","93.800","94.090","93.735","21.82K","0.16%"
"Oct 01, 2020","93.762","93.865","93.980","93.565","24.77K","-0.18%"
"Sep 30, 2020","93.927","93.900","94.250","93.700","20.01K","0.00%"
"Sep 29, 2020","93.927","94.205","94.350","93.860","17.39K","-0.40%"
"Sep 28, 2020","94.302","94.630","94.670","94.175","20.24K","-0.40%"
"Sep 25, 2020","94.682","94.345","94.795","94.225","18.88K","0.31%"
"Sep 24, 2020","94.394","94.440","94.655","94.225","23.95K","-0.05%"
"Sep 23, 2020","94.443","94.030","94.495","93.965","30.72K","0.45%"
"Sep 22, 2020","94.018","93.585","94.120","93.500","23.40K","0.36%"
"Sep 21, 2020","93.684","93.005","93.815","92.755","32.24K","0.79%"
"Sep 18, 2020","92.952","92.895","93.045","92.770","15.65K","-0.02%"
"Sep 17, 2020","92.969","93.190","93.630","92.875","31.14K","-0.28%"
"Sep 16, 2020","93.231","93.130","93.300","92.800","35.51K","0.16%"
"Sep 15, 2020","93.085","93.070","93.185","92.790","18.64K","0.19%"
"Sep 14, 2020","92.912","93.250","93.300","92.910","3.15K","-0.44%"
"Sep 11, 2020","93.320","93.345","93.375","93.110","11.40K","-0.01%"
"Sep 10, 2020","93.331","93.270","93.450","92.700","21.15K","0.08%"
"Sep 09, 2020","93.258","93.535","93.665","93.125","24.80K","-0.20%"
"Sep 08, 2020","93.441","93.050","93.520","93.000","30.04K","0.78%"
"Sep 07, 2020","92.719","92.800","93.090","92.800","7.78K","0.00%"
"Sep 04, 2020","92.719","92.825","93.245","92.665","25.88K","-0.02%"
"Sep 03, 2020","92.733","92.705","93.085","92.685","20.74K","-0.11%"
"Sep 02, 2020","92.834","92.265","92.875","92.235","24.03K","0.54%"
"Sep 01, 2020","92.337","92.170","92.400","91.725","33.20K","0.22%"
"Aug 31, 2020","92.131","92.300","92.490","91.990","29.09K","-0.27%"
"Aug 28, 2020","92.379","93.030","93.100","92.180","35.37K","-0.66%"
"Aug 27, 2020","92.991","92.835","93.350","92.385","46.98K","-0.01%"
"Aug 26, 2020","92.996","93.020","93.375","92.835","18.76K","-0.02%"
"Aug 25, 2020","93.019","93.270","93.350","92.960","16.29K","-0.29%"
"Aug 24, 2020","93.289","93.215","93.340","92.830","16.20K","0.05%"
"Aug 21, 2020","93.240","92.690","93.480","92.565","25.53K","0.50%"
"Aug 20, 2020","92.778","92.975","93.245","92.710","19.71K","-0.11%"
"Aug 19, 2020","92.880","92.210","93.065","92.145","21.58K","0.67%"
"Aug 18, 2020","92.259","92.820","92.820","92.110","21.71K","-0.63%"
"Aug 17, 2020","92.847","93.035","93.115","92.750","12.46K","-0.26%"
"Aug 14, 2020","93.085","93.245","93.410","92.995","15.38K","-0.25%"
"Aug 13, 2020","93.317","93.365","93.390","92.905","19.29K","-0.10%"
"Aug 12, 2020","93.408","93.655","93.895","93.210","20.59K","-0.21%"
"Aug 11, 2020","93.600","93.595","93.735","93.140","23.50K","0.03%"
"Aug 10, 2020","93.569","93.415","93.685","93.275","15.75K","0.17%"
"Aug 07, 2020","93.412","92.785","93.625","92.740","25.84K","0.69%"
"Aug 06, 2020","92.768","92.780","93.085","92.475","24.33K","-0.09%"
"Aug 05, 2020","92.850","93.145","93.235","92.535","20.13K","-0.57%"
"Aug 04, 2020","93.378","93.505","93.815","93.215","18.00K","-0.14%"
"Aug 03, 2020","93.507","93.390","93.980","93.295","24.99K","0.20%"
"Jul 31, 2020","93.321","92.775","93.525","92.510","28.57K","0.34%"
"Jul 30, 2020","93.009","93.305","93.640","92.890","26.95K","-0.45%"
"Jul 29, 2020","93.432","93.710","93.770","93.120","24.75K","-0.23%"
"Jul 28, 2020","93.647","93.490","93.965","93.450","23.58K","0.03%"
"Jul 27, 2020","93.615","94.345","94.375","93.420","23.56K","-0.81%"
"Jul 24, 2020","94.380","94.750","94.780","94.100","18.25K","-0.28%"
"Jul 23, 2020","94.649","94.955","95.150","94.540","17.88K","-0.30%"
"Jul 22, 2020","94.930","95.090","95.375","94.775","17.68K","-0.14%"
"Jul 21, 2020","95.060","95.700","95.870","94.980","24.68K","-0.74%"
"Jul 20, 2020","95.772","96.000","96.145","95.675","18.20K","-0.12%"
"Jul 17, 2020","95.889","96.260","96.295","95.845","11.60K","-0.45%"
"Jul 16, 2020","96.319","95.975","96.380","95.845","18.27K","0.29%"
"Jul 15, 2020","96.039","96.120","96.215","95.720","14.53K","-0.17%"
"Jul 14, 2020","96.207","96.520","96.670","96.125","12.97K","-0.21%"
"Jul 13, 2020","96.407","96.585","96.640","96.205","18.71K","-0.21%"
"Jul 10, 2020","96.614","96.745","96.960","96.395","16.73K","-0.06%"
"Jul 09, 2020","96.673","96.415","96.780","96.180","21.92K","0.32%"
"Jul 08, 2020","96.368","96.910","97.005","96.345","18.91K","-0.49%"
"Jul 07, 2020","96.839","96.700","97.105","96.555","16.29K","0.16%"
"Jul 06, 2020","96.682","97.190","97.190","96.500","20.09K","-0.64%"
"Jul 03, 2020","97.301","97.210","97.350","97.145","5.24K","0.00%"
"Jul 02, 2020","97.301","97.140","97.335","96.790","17.42K","0.15%"
"Jul 01, 2020","97.155","97.375","97.615","96.985","16.05K","-0.20%"
"Jun 30, 2020","97.349","97.390","97.810","97.185","18.34K","-0.16%"
"Jun 29, 2020","97.501","97.475","97.610","97.085","13.59K","0.10%"
"Jun 26, 2020","97.404","97.335","97.665","97.235","10.76K","0.02%"
"Jun 25, 2020","97.388","97.210","97.585","97.135","16.12K","0.27%"
"Jun 24, 2020","97.129","96.605","97.205","96.500","18.30K","0.54%"
"Jun 23, 2020","96.608","96.840","97.215","96.320","21.21K","-0.39%"
"Jun 22, 2020","96.985","97.630","97.700","96.940","15.16K","-0.61%"
"Jun 19, 2020","97.577","97.400","97.700","97.115","18.10K","0.18%"
"Jun 18, 2020","97.400","97.080","97.555","96.930","13.31K","0.26%"
"Jun 17, 2020","97.144","96.950","97.350","96.765","15.42K","0.22%"
"Jun 16, 2020","96.933","96.490","97.240","96.385","21.71K","-0.05%"
"Jun 15, 2020","96.978","97.170","97.385","97.035","0.54K","-0.34%"
"Jun 12, 2020","97.305","96.835","97.455","96.505","7.39K","0.59%"
"Jun 11, 2020","96.739","96.145","96.820","95.945","16.97K","0.82%"
"Jun 10, 2020","95.950","96.445","96.465","95.705","29.44K","-0.39%"
"Jun 09, 2020","96.321","96.635","97.065","96.215","19.69K","-0.30%"
"Jun 08, 2020","96.608","96.935","97.065","96.580","19.42K","-0.32%"
"Jun 05, 2020","96.922","96.765","97.050","96.430","23.99K","0.27%"
"Jun 04, 2020","96.657","97.320","97.635","96.560","30.71K","-0.62%"
"Jun 03, 2020","97.259","97.570","97.615","97.155","25.24K","-0.41%"
"Jun 02, 2020","97.659","97.860","97.900","97.420","15.32K","-0.16%"
"Jun 01, 2020","97.820","98.265","98.335","97.770","15.02K","-0.53%"
"May 29, 2020","98.341","98.470","98.550","97.935","21.71K","-0.03%"
"May 28, 2020","98.372","98.930","99.095","98.335","25.98K","-0.69%"
"May 27, 2020","99.058","99.010","99.360","98.715","20.95K","0.15%"
"May 26, 2020","98.906","99.760","99.785","98.895","18.17K","-0.98%"
"May 25, 2020","99.888","99.790","99.995","99.700","4.07K","0.00%"
"May 22, 2020","99.888","99.445","99.900","99.400","13.88K","0.49%"
"May 21, 2020","99.403","99.180","99.540","99.030","11.52K","0.27%"
"May 20, 2020","99.135","99.560","99.570","99.005","13.17K","-0.23%"
"May 19, 2020","99.366","99.635","99.755","99.245","18.18K","-0.32%"
"May 18, 2020","99.681","100.435","100.515","99.595","17.63K","-0.75%"
"May 15, 2020","100.434","100.305","100.515","100.095","12.71K","-0.07%"
"May 14, 2020","100.507","100.245","100.605","100.200","13.87K","0.22%"
"May 13, 2020","100.291","100.055","100.325","99.585","14.30K","0.34%"
"May 12, 2020","99.956","100.270","100.510","99.685","12.08K","-0.31%"
"May 11, 2020","100.270","99.860","100.350","99.690","14.20K","0.50%"
"May 08, 2020","99.769","99.840","99.970","99.460","11.06K","-0.14%"
"May 07, 2020","99.906","100.265","100.455","99.825","13.98K","-0.23%"
"May 06, 2020","100.136","99.840","100.265","99.800","8.86K","0.37%"
"May 05, 2020","99.762","99.580","100.070","99.375","12.35K","0.20%"
"May 04, 2020","99.567","99.100","99.655","99.090","14.59K","0.47%"
"May 01, 2020","99.100","99.130","99.225","98.765","12.23K","0.07%"
"Apr 30, 2020","99.028","99.550","99.800","98.830","26.66K","-0.62%"
"Apr 29, 2020","99.644","99.935","99.955","99.515","10.39K","-0.29%"
"Apr 28, 2020","99.934","100.155","100.295","99.485","13.66K","-0.16%"
"Apr 27, 2020","100.097","100.270","100.370","99.840","11.46K","-0.34%"
"Apr 24, 2020","100.434","100.615","100.975","100.250","11.91K","-0.10%"
"Apr 23, 2020","100.535","100.595","100.850","100.120","22.23K","0.01%"
"Apr 22, 2020","100.528","100.330","100.625","99.990","11.26K","0.15%"
"Apr 21, 2020","100.374","100.055","100.630","100.030","16.31K","0.32%"
"Apr 20, 2020","100.058","99.770","100.185","99.750","13.17K","0.22%"
"Apr 17, 2020","99.836","99.970","100.355","99.660","12.80K","-0.26%"
"Apr 16, 2020","100.100","99.670","100.390","99.640","13.51K","0.62%"
"Apr 15, 2020","99.486","98.820","100.060","98.820","15.57K","0.61%"
"Apr 14, 2020","98.885","99.380","99.435","98.815","11.13K","-0.45%"
"Apr 13, 2020","99.336","99.495","99.640","99.110","9.03K","-0.17%"
"Apr 09, 2020","99.504","100.200","100.345","99.310","16.15K","-0.66%"
"Apr 08, 2020","100.170","99.980","100.510","99.950","11.10K","0.26%"
"Apr 07, 2020","99.914","100.830","100.830","99.715","15.56K","-0.83%"
"Apr 06, 2020","100.755","100.865","101.030","100.535","11.18K","0.08%"
"Apr 03, 2020","100.677","100.305","100.965","100.240","10.32K","0.40%"
"Apr 02, 2020","100.271","99.625","100.500","99.445","12.72K","0.52%"
"Apr 01, 2020","99.753","99.025","99.915","98.955","12.13K","0.67%"
"Mar 31, 2020","99.092","99.285","100.125","98.875","18.58K","-0.19%"
"Mar 30, 2020","99.281","98.430","99.445","98.395","11.21K","0.76%"
"Mar 27, 2020","98.537","99.430","100.020","98.345","15.81K","-0.92%"
"Mar 26, 2020","99.453","100.970","101.080","99.365","15.00K","-1.53%"
"Mar 25, 2020","100.997","101.865","102.110","100.835","13.89K","-1.22%"
"Mar 24, 2020","102.247","102.830","102.915","101.555","20.69K","-0.96%"
"Mar 23, 2020","103.240","103.150","103.960","102.300","21.53K","-0.25%"
"Mar 20, 2020","103.502","103.780","103.825","101.905","23.16K","-0.10%"
"Mar 19, 2020","103.605","101.130","103.700","101.045","34.70K","2.03%"
"Mar 18, 2020","101.543","99.695","102.040","99.385","26.16K","1.74%"
"Mar 17, 2020","99.804","98.225","100.075","98.105","26.90K","1.59%"
