"Date","Price","Open","High","Low","Vol.","Change %"
"May 09, 2013","82.875","81.965","82.915","81.835","34.97K","1.13%"
"May 08, 2013","81.951","82.365","82.400","81.780","25.10K","-0.47%"
"May 07, 2013","82.335","82.380","82.425","82.120","18.35K","-0.05%"
"May 06, 2013","82.378","82.140","82.475","82.040","20.04K","0.22%"
"May 03, 2013","82.195","82.290","82.610","81.835","41.77K","-0.11%"
"May 02, 2013","82.282","81.640","82.415","81.540","43.07K","0.93%"
"May 01, 2013","81.522","81.740","81.780","81.370","24.79K","-0.35%"
"Apr 30, 2013","81.807","82.225","82.355","81.640","34.63K","-0.48%"
"Apr 29, 2013","82.202","82.445","82.520","82.100","22.78K","-0.45%"
"Apr 26, 2013","82.571","82.895","82.905","82.460","25.97K","-0.32%"
"Apr 25, 2013","82.840","83.030","83.055","82.485","30.93K","-0.22%"
"Apr 24, 2013","83.026","83.210","83.325","82.965","24.95K","-0.19%"
"Apr 23, 2013","83.186","82.765","83.200","82.650","28.99K","0.44%"
"Apr 22, 2013","82.824","82.835","83.045","82.735","29.89K","-0.03%"
"Apr 19, 2013","82.846","82.670","82.895","82.400","30.43K","0.20%"
"Apr 18, 2013","82.681","82.735","82.755","82.460","24.10K","-0.13%"
"Apr 17, 2013","82.791","81.895","82.815","81.890","51.70K","1.18%"
"Apr 16, 2013","81.823","82.395","82.620","81.780","42.10K","-0.83%"
"Apr 15, 2013","82.507","82.190","82.545","82.190","30.02K","0.12%"
"Apr 12, 2013","82.406","82.295","82.585","82.140","25.29K","0.10%"
"Apr 11, 2013","82.325","82.650","82.680","82.140","27.95K","-0.37%"
"Apr 10, 2013","82.634","82.485","82.675","82.320","24.75K","0.27%"
"Apr 09, 2013","82.414","82.780","82.820","82.375","21.87K","-0.55%"
"Apr 08, 2013","82.869","82.750","82.955","82.605","19.37K","0.32%"
"Apr 05, 2013","82.603","82.880","83.010","82.310","30.71K","-0.23%"
"Apr 04, 2013","82.795","82.840","83.660","82.740","43.46K","-0.08%"
"Apr 03, 2013","82.861","83.075","83.245","82.770","20.05K","-0.28%"
"Apr 02, 2013","83.092","82.870","83.130","82.645","16.80K","0.23%"
"Apr 01, 2013","82.899","83.175","83.365","82.810","12.02K","-0.33%"
"Mar 28, 2013","83.175","83.420","83.460","83.020","20.73K","-0.28%"
"Mar 27, 2013","83.411","83.040","83.520","83.010","28.79K","0.44%"
"Mar 26, 2013","83.048","83.020","83.165","82.880","19.34K","0.06%"
"Mar 25, 2013","82.995","82.610","83.110","81.830","30.09K","0.56%"
"Mar 22, 2013","82.529","82.960","82.985","82.435","27.12K","-0.45%"
"Mar 21, 2013","82.905","83.000","83.185","82.835","22.59K","-0.05%"
"Mar 20, 2013","82.948","83.240","83.245","82.725","30.49K","-0.32%"
"Mar 19, 2013","83.211","82.935","83.315","82.830","32.72K","0.77%"
"Mar 18, 2013","82.574","82.680","82.830","82.545","0.68K","0.39%"
"Mar 15, 2013","82.256","82.530","82.605","82.060","15.35K","-0.44%"
"Mar 14, 2013","82.623","82.915","83.180","82.440","36.80K","-0.34%"
"Mar 13, 2013","82.902","82.575","83.070","82.350","50.33K","0.37%"
"Mar 12, 2013","82.595","82.675","82.815","82.425","30.03K","0.02%"
"Mar 11, 2013","82.580","82.760","82.885","82.530","31.26K","-0.18%"
"Mar 08, 2013","82.731","82.165","82.945","82.105","39.05K","0.74%"
"Mar 07, 2013","82.123","82.615","82.620","81.995","35.17K","-0.47%"
"Mar 06, 2013","82.507","82.020","82.640","81.975","26.04K","0.44%"
"Mar 05, 2013","82.147","82.210","82.300","81.955","25.02K","-0.13%"
"Mar 04, 2013","82.255","82.355","82.530","82.230","19.76K","-0.13%"
"Mar 01, 2013","82.358","82.010","82.580","81.850","34.83K","0.43%"
"Feb 28, 2013","82.003","81.605","82.075","81.535","27.99K","0.41%"
"Feb 27, 2013","81.672","81.940","81.985","81.555","38.85K","-0.33%"
"Feb 26, 2013","81.940","81.930","82.035","81.630","46.51K","0.20%"
"Feb 25, 2013","81.777","81.705","82.005","81.165","50.84K","0.24%"
"Feb 22, 2013","81.585","81.485","81.700","81.260","33.31K","0.04%"
"Feb 21, 2013","81.551","81.175","81.625","81.125","39.69K","0.49%"
"Feb 20, 2013","81.155","80.460","81.230","80.350","40.94K","0.76%"
"Feb 19, 2013","80.545","80.745","80.765","80.505","15.64K","-0.04%"
"Feb 18, 2013","80.576","80.700","80.830","80.605","9.34K","0.00%"
"Feb 15, 2013","80.576","80.480","80.675","80.305","19.40K","0.05%"
"Feb 14, 2013","80.538","80.180","80.710","80.145","34.17K","0.46%"
"Feb 13, 2013","80.167","80.100","80.255","79.915","28.47K","0.00%"
